T100S-HP,OSA,WLM
1440.0,+1.43999320E-006,+1.43999269E-006
1441.0,+1.44099670E-006,+1.44099470E-006
1442.0,+1.44199420E-006,+1.44199279E-006
1443.0,+1.44299110E-006,+1.44299341E-006
1444.0,+1.44398980E-006,+1.44399631E-006
1445.0,+1.44498900E-006,+1.44499532E-006
1446.0,+1.44598880E-006,+1.44599662E-006
1447.0,+1.44699040E-006,+1.44699835E-006
1448.0,+1.44799440E-006,+1.44799795E-006
1449.0,+1.44899970E-006,+1.44899778E-006
1450.0,+1.44999780E-006,+1.44999631E-006
1451.0,+1.45099390E-006,+1.45099353E-006
1452.0,+1.45199330E-006,+1.45199372E-006
1453.0,+1.45299430E-006,+1.45299774E-006
1454.0,+1.45399220E-006,+1.45399901E-006
1455.0,+1.45499000E-006,+1.45499772E-006
1456.0,+1.45599380E-006,+1.45599738E-006
1457.0,+1.45699870E-006,+1.45699820E-006
1458.0,+1.45799750E-006,+1.45799592E-006
1459.0,+1.45899630E-006,+1.45899482E-006
1460.0,+1.45999510E-006,+1.45999575E-006
1461.0,+1.46099000E-006,+1.46099497E-006
1462.0,+1.46198510E-006,+1.46199342E-006
1463.0,+1.46298770E-006,+1.46299371E-006
1464.0,+1.46399250E-006,+1.46399520E-006
1465.0,+1.46499720E-006,+1.46499631E-006
1466.0,+1.46599850E-006,+1.46599649E-006
1467.0,+1.46699720E-006,+1.46699664E-006
1468.0,+1.46799360E-006,+1.46799790E-006
1469.0,+1.46899230E-006,+1.46899995E-006
1470.0,+1.46999130E-006,+1.46999697E-006
1471.0,+1.47099310E-006,+1.47099730E-006
1472.0,+1.47199920E-006,+1.47199898E-006
1473.0,+1.47300010E-006,+1.47299894E-006
1474.0,+1.47400040E-006,+1.47400085E-006
1475.0,+1.47499650E-006,+1.47500097E-006
1476.0,+1.47599140E-006,+1.47599971E-006
1477.0,+1.47699490E-006,+1.47700055E-006
1478.0,+1.47799790E-006,+1.47800002E-006
1479.0,+1.47899930E-006,+1.47899811E-006
1480.0,+1.48000020E-006,+1.47999938E-006
1481.0,+1.48099730E-006,+1.48099896E-006
1482.0,+1.48198970E-006,+1.48199600E-006
1483.0,+1.48299050E-006,+1.48299928E-006
1484.0,+1.48399670E-006,+1.48400030E-006
1485.0,+1.48499900E-006,+1.48499839E-006
1486.0,+1.48599760E-006,+1.48599824E-006
1487.0,+1.48699860E-006,+1.48699917E-006
1488.0,+1.48799400E-006,+1.48799867E-006
1489.0,+1.48899280E-006,+1.48900041E-006
1490.0,+1.48999590E-006,+1.49000074E-006
1491.0,+1.49100080E-006,+1.49099899E-006
1492.0,+1.49200160E-006,+1.49200066E-006
1493.0,+1.49299460E-006,+1.49299807E-006
1494.0,+1.49399230E-006,+1.49399649E-006
1495.0,+1.49499160E-006,+1.49499719E-006
